"시점","항목",가구원수 (명),가구주연령 (세),가구분포 (%),소득,경상소득,근로소득,사업소득,재산소득,이전소득,비경상소득,가계지출,소비지출,01.식료품 · 비주류음료,02.주류 · 담배,03.의류 · 신발,04.주거 · 수도 · 광열,05.가정용품 · 가사서비스,06.보건,07.교통,08.통신,09.오락 · 문화,10.교육,11.음식 · 숙박,12.기타상품 · 서비스,비소비지출,처분가능소득,흑자액,흑자율,평균소비성향
"2020 2/4","전체가구",2.40,52.42,100.00,4315385,4244221,2576278,778438,26511,862994,71164,3181429,2385004,363972,38889,134561,283702,143076,211678,297292,117103,141346,114338,332287,206759,796425,3518960,1133956,32.2,67.8
"2020 2/4","근로자가구",2.52,47.40,57.32,5032809,4963305,4088525,174370,16474,683937,69504,3620515,2630463,377304,42192,159074,292638,156848,205859,338484,126288,164617,148177,394988,223994,990053,4042757,1412294,34.9,65.1
"2020 2/4","근로자외가구",2.25,59.17,42.68,3352037,3278645,545652,1589574,39989,1103430,73392,2591830,2055405,346071,34455,101646,271702,124583,219493,241980,104770,110098,68900,248092,183616,536425,2815612,760207,27.0,73.0
"2020 3/4","전체가구",2.40,52.46,100.00,4377301,4307546,2781474,853418,31059,641594,69755,3284260,2426415,406929,40230,96306,263000,130945,216218,271294,124036,136496,206918,335402,198641,857846,3519456,1093041,31.1,68.9
"2020 3/4","근로자가구",2.52,47.37,58.44,5082240,5012952,4353933,183657,24478,450884,69289,3718166,2658150,413570,44093,112780,278142,138985,209824,300463,135165,156432,256021,396079,216594,1060016,4022225,1364075,33.9,66.1
"2020 3/4","근로자외가구",2.24,59.62,41.56,3386126,3315715,570528,1795132,40313,909742,70411,2674169,2100584,397591,34798,73142,241708,119639,225209,230282,108388,108466,137878,250088,173397,573585,2812541,711957,25.3,74.7
"2020 4/4","전체가구",2.39,52.47,100.00,4361723,4280242,2738479,937250,24915,579598,81481,3227499,2407610,394453,36448,143790,279471,127864,229094,305879,119958,129506,127438,309449,204260,819889,3541834,1134224,32.0,68.0
"2020 4/4","근로자가구",2.49,47.62,58.84,4928143,4856110,4232765,219491,16748,387105,72034,3660373,2646977,392973,40381,168008,289037,139889,229277,355940,132500,155029,160450,366783,216710,1013396,3914748,1267770,32.4,67.6
"2020 4/4","근로자외가구",2.25,59.40,41.16,3552108,3457124,602616,1963181,36589,854738,94984,2608769,2065469,396570,30826,109173,265799,110676,228833,234324,102031,93024,80253,227498,186464,543300,3008808,943339,31.4,68.6
"2021 1/4","전체가구",2.37,52.84,100.00,4383813,4300458,2778016,767065,32548,722829,83355,3291618,2418703,384374,36499,106509,339681,118656,214730,270775,120094,137391,202477,292485,195033,872915,3510898,1092195,31.1,68.9
"2021 1/4","근로자가구",2.49,47.50,56.80,5290038,5204857,4494651,176757,24182,509267,85181,3817542,2697192,392421,41362,126516,354324,137461,215778,315574,130660,163598,246068,357212,216217,1120350,4169688,1472496,35.3,64.7
"2021 1/4","근로자외가구",2.22,59.87,43.20,3192094,3111140,520581,1543340,43550,1003669,80953,2600009,2052480,373793,30104,80199,320424,93926,213352,211863,106199,102927,145153,207366,167175,547529,2644565,592085,22.4,77.6
"2019","전체가구",2.41,52.27,100.00,-,-,-,-,-,-,-,3329804,2456678,332558,35802,138180,276589,115323,202279,295974,123006,180301,204775,345710,206182,873126,-,-,-,-
"2019","근로자가구",2.56,47.50,59.32,-,-,-,-,-,-,-,3809653,2740086,340186,38355,160716,284863,127725,200565,352682,133798,207547,254329,410522,228797,1069567,-,-,-,-
"2019","근로자외가구",2.19,59.22,40.68,-,-,-,-,-,-,-,2630189,2043472,321435,32079,105323,264525,97240,204777,213294,107272,140577,132527,251216,173209,586718,-,-,-,-
"2020","전체가구",2.40,52.59,100.00,-,-,-,-,-,-,-,3239681,2400123,381056,37531,118085,285822,126729,220558,288848,119775,139539,159087,319220,203873,839559,-,-,-,-
"2020","근로자가구",2.51,47.53,57.97,-,-,-,-,-,-,-,3687877,2646063,390406,41046,138643,296434,138891,218394,327367,130829,161884,201453,379890,220826,1041813,-,-,-,-
"2020","근로자외가구",2.24,59.58,42.03,-,-,-,-,-,-,-,2621498,2060904,368161,32682,89729,271185,109955,223542,235719,104528,108720,100651,235540,180490,560594,-,-,-,-
