"STD_YM(기준년월)","BLCK_CD(블록코드)","STAT_CD(통계청상품코드)","SEX_CD(성별코드)","AGE_CD(연령대코드)","TIME_CD(시간대코드)","ACC_CNT(구매_고객수)","PURH_CNT(구매건수)","PURH_AMT(구매금액)"
"201912","33441","I","01","04","05",999,999,9999999
"201912","33441","A","01","04","06",999,999,9999999
"201912","33441","A","01","05","03",999,999,9999999
"201912","33441","A","01","05","04",999,999,9999999
"201912","33441","A","01","05","05",999,999,9999999
"201912","33441","E","01","05","05",999,999,9999999
"201912","33441","A","02","02","02",999,999,9999999
"201912","33441","A","02","02","03",999,999,9999999
"201912","33441","A","02","03","04",999,999,9999999
"201912","33441","B","02","03","04",999,999,9999999
"201912","33441","L","02","03","05",999,999,9999999
"201912","33441","A","02","03","06",999,999,9999999
"201912","33441","A","02","04","04",999,999,9999999
"201912","33441","E","02","04","04",999,999,9999999
"201912","33441","J","02","04","04",999,999,9999999
"201912","33441","A","02","04","05",999,999,9999999
"201912","33441","C","02","04","05",999,999,9999999
"201912","33441","A","02","04","06",999,999,9999999
"201912","33441","B","02","04","06",999,999,9999999
"201912","33441","C","02","04","06",999,999,9999999
"201912","33441","E","02","04","06",999,999,9999999
"201912","33441","A","02","05","03",999,999,9999999
"201912","33441","E","02","05","03",999,999,9999999
"201912","33441","A","02","05","04",999,999,9999999
"201912","33441","A","02","05","05",999,999,9999999
"201912","33441","A","02","05","06",999,999,9999999
"201912","33441","A","02","07","04",999,999,9999999
